comment,label,rate,Unnamed: 3,comment_clean
Hơi buồn cái này thôi còn lại thì ok. 4 sao cho shop sau này rút kinh nghiệm bán đồ chơi con nít bọc nilong lại cho nó đỡ bám bụi.,POS,4,,hơi buồn cái này thôi còn lại thì ok 4 sao cho shop sau_này rút kinh_nghiệm bán đồ_chơi con_nít bọc nilong lại cho nó đỡ bám bụi
Chảo to nhưng mỏng và k phải vân đá mà là mạ nha các bạn.,NEU,3,,chảo to nhưng mỏng và k phải vân đá mà là mạ_nha các bạn
"Phân loại hàng hơi rắc rối, mình k mua được cái muốn mua.",NEG,1,,phân_loại hàng hơi rắc_rối mình k mua được_cái muốn mua
Vải trước đẹp hơn .,POS,4,,vải trước đẹp hơn
Mọi người nhớ mua nhiều ở shop hơn nhé.,POS,4,,mọi người nhớ mua nhiều ở shop hơn nhé
Đáng đồng tiền.,POS,5,,đáng đồng_tiền
Rộng phải tạ mới mặc vừa.,NEU,3,,rộng phải tạ mới mặc vừa
Tiền nào của nấy.,NEU,3,,tiền nào của nấy
"Chất lượng sản phẩm tốt, Thời gian giao hàng rất nhanh.",POS,5,,chất_lượng sản_phẩm tốt thời_gian giao hàng rất nhanh
Dáng xấu .,NEG,2,,dáng xấu
Rất hài lòng về quần lót bầu.,POS,4,,rất hài_lòng về quần_lót bầu
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn
Mặc lên dính sát vào người chứ không đứng áo như trong hình.,NEG,2,,mặc lên dính sát vào người chứ không đứng áo như trong hình
Rất đáng tiền.,POS,5,,rất đáng tiền
Giao hàng nhanh.,POS,5,,giao hàng nhanh
"Áo đẹp dã man luôn,shop tư vấn nhiệt tình.",POS,4,,áo đẹp dã_man luônshop tư_vấn nhiệt_tình
"Giao hàng nhanh, quần đẹp đáng so với tiền bỏ ra, shop nhiệt tình yêu shop.",POS,5,,giao hàng nhanh quần đẹp đáng so với tiền bỏ ra shop nhiệt_tình_yêu shop
"- Làm bánh cho KH mà làm sai loại bánh, vô làm lại thì bánh cháy!",NEG,1,,làm bánh cho kh mà làm sai loại bánh_vô làm lại thì bánh cháy
"Thời gian giao hàng nhanh, sp k đc như ý...",POS,4,,thời_gian giao hàng nhanh sp k_đc như ý
Mình không bàn về chất lượng vải.,NEU,3,,mình không bàn về chất_lượng vải
"Shop giao thiếu ví này :""(((( và mấy món khác cũng sai màu hơi nhiều.",NEG,2,,shop giao thiếu ví này và mấy món khác cũng sai màu hơi nhiều
hàng quá đẹp so với giá thành!,POS,5,,hàng quá đẹp so với giá_thành
Hàng y hình.,POS,4,,hàng y_hình
"Lạp xưởng ngon, nhìn mỡ vậy mà khi chiên xong ăn ko bị ngán, giá đẹp.",POS,5,,lạp_xưởng ngon nhìn mỡ vậy_mà khi chiên xong ăn_ko bị ngán giá đẹp
Giầy cũng khá đẹp.,POS,5,,giầy cũng khá đẹp
Hàng y ảnh nha.,POS,5,,hàng y_ảnh nha
Thời gian giao hàng rất chậm!,NEG,1,,thời_gian giao hàng rất chậm
So với giá thì vầy là ổn quá rồi :3.,POS,5,,so với giá thì vầy là ổn quá rồi 3
"Chất lượng kém vải cứng k mềm, đường may ẩu, dáng bị hẫng.",NEG,2,,chất_lượng kém vải cứng_k mềm đường may ẩu_dáng bị hẫng
Vải mặc mát.,POS,5,,vải mặc mát
Mặc rất thoải mái.,POS,4,,mặc rất thoải_mái
Áo trắng chất lượng quá thấp còn bị bẩn nhiều nơi giặt ko ra.,NEG,1,,áo trắng chất_lượng quá thấp còn bị bẩn nhiều nơi giặt ko ra
Chất vải đẹp.,POS,5,,chất vải đẹp
Tiền nào của nấy tất mới mua nhg bị rạn nhỏ.,NEG,1,,tiền nào của nấy tất mới mua nhg bị rạn nhỏ
Good value for money.,POS,5,,good value for money
Ngày nay chả flash gì cũng 33k/ chai.,NEU,3,,ngày_nay chả flash gì cũng 33 k chai
Cug tam dc .vai cug kg dep lam.,NEU,3,,cug tam_dc vai cug kg dep_lam
Chúc shop đắt hàng.,POS,5,,chúc shop đắt hàng
Né shop này ra nếu ko mún bực bội.,NEG,1,,né shop này ra nếu ko_mún bực_bội
K giống ảnh lắm.,NEG,1,,k giống ảnh lắm
Quần chất mềm..khá rẻ và ok.,POS,5,,quần chất mềmkhá rẻ và ok
Thời gian giao hàng rất nhanh Rất đáng tiền Rất đáng tiền.,POS,5,,thời_gian giao hàng rất nhanh rất đáng tiền rất đáng tiền
Màu tím vỏ ngoài mo hết chu.,NEU,3,,màu tím vỏ ngoài mo hết chu
Mặc rất đẹp Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền.,POS,5,,mặc rất đẹp đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền
Ao dep nhung form nho so voi bang kich thuoc nen mac ko vua.,NEU,3,,ao dep nhung form_nho so voi bang kich thuoc nen mac ko vua
"Áo thun chất vải mỏng mát, ko mỏng lắm đâu nha, ok lắm!!",POS,5,,áo thun chất vải mỏng mát ko mỏng lắm đâu nha_ok lắm
Minhk đã nhận được hàng.,POS,4,,minhk đã nhận được hàng
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh
Nhưng mỗi tội lạc đơn hàng phải đặt lần 2 bù Shop nhiệt tình nên xí xóa.,POS,4,,nhưng mỗi tội_lạc đơn hàng phải đặt lần 2 bù shop nhiệt_tình nên xí xóa
Chất lượng sản phẩm tạm được Đóng gói sản phẩm tạm được Thời gian giao hàng tạm được Giá cả chấp nhận được.,NEU,3,,chất_lượng sản_phẩm tạm được đóng_gói sản_phẩm tạm được thời_gian giao hàng tạm được giá_cả chấp_nhận được
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
Mua về giặt cho hết mùi vải rồi lem tùm luôn.,NEG,2,,mua về giặt cho hết mùi vải rồi lem tùm luôn
Sản phẩm phù hợp với giá tiền.,POS,5,,sản_phẩm phù_hợp với giá tiền
Chúc shop buôn bán thuận lợi và thành công!,POS,5,,chúc shop buôn_bán thuận_lợi và thành_công
Chị chjr còn tặng cho dây buộc tóc nữa❤ Ngàn sao cho shop.,POS,5,,chị chjr còn tặng cho dây buộc tóc nữa ngàn sao cho shop
Giấy dai.,NEG,2,,giấy dai
"Vải hơi mỏng , y hình Đóng gói sản phẩm chắc chắn Phù hợp giá tiền giao hang nhanh.",POS,4,,vải hơi mỏng y_hình đóng_gói sản_phẩm chắc_chắn phù_hợp giá tiền giao hang nhanh
"Dáng áo đẹp , hợp với giá tiền.",POS,4,,dáng áo đẹp_hợp với giá tiền
"Chất vải mỏng lét, thun co giãn.",NEG,2,,chất vải mỏng lét_thun co_giãn
"Giống 95% ảnh, êm, đẹp, ưng 💕💕.",POS,4,,giống 95 ảnh êm_đẹp ưng
Ao dep.,POS,4,,ao dep
Chất lượng sản phẩm tốt Giá cả chấp nhận được Thời gian giao hàng nhanh.,POS,5,,chất_lượng sản_phẩm tốt giá_cả chấp_nhận được thời_gian giao hàng nhanh
Áo đẹp y hình luôn ạ 😚.,POS,5,,áo đẹp y_hình luôn ạ
- Áo đẹp lắm nhaaa mọi ng <3 cứ yên tâm mua đi ạ.,POS,5,,áo đẹp lắm nhaaa mọi ng 3 cứ yên_tâm mua đi ạ
Dép mang rất êm chân.,POS,5,,dép mang rất êm_chân
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ rất tốt.,POS,5,,chất_lượng sản_phẩm tốt đóng_gói sản_phẩm chắc_chắn shop phục_vụ rất tốt
Son lên màu đẹp.,POS,5,,son lên màu đẹp
Giao nhanh.,POS,4,,giao nhanh
Chất liệu đẹp.,POS,4,,chất_liệu đẹp
Áo k giống hình lắm.,NEG,1,,áo k giống hình lắm
Sẽ mua lại.,POS,5,,sẽ mua lại
Giao màu Đen!!!??,NEU,3,,giao màu đen
"Áo ok, rộng xíu thì ok hơn.",POS,4,,áo ok rộng_xíu thì ok hơn
Mũ chất👍.,POS,5,,mũ chất
Lần này mua cả thùng rất đáng tiền ạ để lâu cũng không lo lắng.,POS,5,,lần này mua cả thùng rất đáng tiền ạ để lâu cũng không lo_lắng
hang nhin vay thoi. chu luc giao hang thi ko dung voi mo ta.,NEG,1,,hang nhin vay thoi chu_luc giao hang thi ko_dung voi mo ta
"Đẹp,giao nhanh:))rẻ:))10đ.",POS,5,,đẹpgiao nhanhrẻ10đ
"Áo giống y hình, rất vừa.",POS,5,,áo giống y_hình rất vừa
Sao dây cuốn cán và cái chốt ở cán mới bóc nilon ra đã bung hết vậy bạn?,NEG,2,,sao dây cuốn cán và cái chốt ở cán mới bóc nilon ra đã bung hết vậy bạn
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh
"Mua tận 6 cái cho bọn bạn , mà chúng nó ưng lắm ❤ nói chung là tuyệt vời.",POS,5,,mua tận 6 cái cho bọn bạn mà chúng_nó ưng lắm nói_chung là tuyệt_vời
Mua bỉm của shop lần 2 và lần nào cũng ưng.sẽ ủng hộ dài luôn 😚😚.,POS,5,,mua bỉm của shop lần 2 và lần nào cũng ưngsẽ ủng_hộ dài luôn
Chất lượng sản phẩm tạm được Giá cả chấp nhận được.bột không dc min lam uống bi sạm.,NEU,3,,chất_lượng sản_phẩm tạm được giá_cả chấp_nhận đượcbột không dc min_lam uống bi_sạm
Thơm.,POS,4,,thơm
Không đáng tiền.,NEG,1,,không đáng tiền
Đóng gói sản phẩm chắc chắn.,POS,5,,đóng_gói sản_phẩm chắc_chắn
Mọi người yên tâm mua đồ ở shop nhé ❤️ thời gian giao hàng cũng nhanh nữa.,POS,4,,mọi người yên_tâm mua đồ ở shop nhé thời_gian giao hàng cũng nhanh nữa
K đc full bóx Chất lượng sản phẩm tốt Thời gian giao hàng nhanh đóng gói sản phầm còn móp méo.,NEG,2,,k đc full bóx chất_lượng sản_phẩm tốt thời_gian giao hàng nhanh đóng_gói sản_phầm còn móp méo
Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền
hàng củng tạm đc giao hang cung nhanh nhung cước phí thì hoi mắt.,NEG,2,,hàng củng_tạm đc giao hang cung nhanh nhung cước_phí thì_hoi mắt
Rất đáng tiền.,POS,5,,rất đáng tiền
Thời gian giao hàng rất chậm.,NEG,1,,thời_gian giao hàng rất chậm
Chúc shop luôn đắt hàng nhé.,POS,4,,chúc shop luôn đắt hàng nhé
"Áo đặt nơi giao hàng ngã, thất vọng về shop quá, huy vọng shop lần sau rút kinh nghiệm cho ~ khách hàng khác, kiểm tra thông tin trc khi gửi hàng.",NEG,2,,áo đặt nơi giao hàng ngã thất_vọng về shop quá huy_vọng shop lần sau rút kinh_nghiệm cho khách_hàng khác kiểm_tra thông_tin trc khi gửi hàng
Nhưng m đã ghi là chọn hồng chứ kp hồng đậm mà lại gửi hồng đậm cho m.,NEG,1,,nhưng m đã ghi là chọn hồng chứ kp hồng_đậm mà_lại gửi hồng đậm cho m
"xong giao màu khác, ko muốn phiền nên ko muốn đổi !",NEG,1,,xong giao màu khác ko muốn phiền nên ko muốn đổi
"Đóng gói sản phẩm chắc chắn, thời gian giao hàng nhanh.",POS,4,,đóng_gói sản_phẩm chắc_chắn thời_gian giao hàng nhanh
Áo k giống hình tay ngắn shop bán hàng ib k rep :))) Chất lượng sản phẩm rất kém.,NEG,1,,áo k giống hình_tay ngắn_shop bán hàng ib k rep chất_lượng sản_phẩm rất kém
Chất lượng sản phẩm tuyệt vời ❤️.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
Chất lượng sản phẩm giống mô tả.,POS,4,,chất_lượng sản_phẩm giống mô_tả
Chất ổn so với giá.,NEU,3,,chất ổn so với giá
Vải áo rất mềm mại.,POS,5,,vải áo rất mềm_mại
Máy uốn rất nhanh duỗi nếp tóc :((.,NEG,2,,máy uốn rất nhanh_duỗi nếp tóc
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh_shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn
Vải đẹp lắm shop 💚.,POS,5,,vải đẹp lắm shop
"Shop tư vấn size quá rộng, ống quần thùng thình mặc không được.",NEG,2,,shop tư_vấn size quá rộng ống_quần thùng thình_mặc không được
Mình lấy 2 tất màu trắng và 2 đen sao shop giao cho mình 4 tất màu đen vậy.,NEU,3,,mình lấy 2 tất màu trắng và 2 đen sao shop giao cho mình 4 tất màu đen vậy
Cảm ơn shop!,POS,4,,cảm_ơn shop
Hơi to xíu nhưng E thích.,POS,5,,hơi to_xíu nhưng e_thích
Công nhận là rất đẹp ạ. 260k e mua đc.2 cái áo cho ông ck e.,POS,5,,công_nhân la_rât đep a 260 k e mua đc2 cai_ao cho ông ck e
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, ko ngờ áo đẹp như zi vải thì ô sờ kê,.",POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn ko ngờ áo đẹp như zi vải thì ô_sờ kê
"Chỉ riêng đợt này rất bất mãn, đồ không giống hình lắm, mua màu đỏ lại giao màu đen.",NEG,1,,chỉ riêng đợt này rất bất_mãn đồ không giống_hình lắm mua màu đỏ lại giao màu đen
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Quá tuyệt.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh quá tuyệt
Áo đẹp nhưng màu đỏ đô thì không chuẩn.,NEU,3,,áo đẹp nhưng màu đỏ_đô thì không chuẩn
"Bạn shop dễ thương, giao hàng nhanh, quần vải mềm, co giãn nhiều, mình mua xanh đậm cảm giác màu ko giống hình mẫu lắm.",NEU,3,,bạn shop dễ_thương giao hàng nhanh quần vải_mềm co_giãn nhiều mình mua xanh đậm cảm_giác màu ko giống hình_mẫu lắm
"Vải đẹp, mỏng nhưng k lộ.",POS,4,,vai đep_mong nhưng k lô
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt🙂.,POS,5,,chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt
Sp quá tệ!,NEG,1,,sp quá tệ
Rất hợp ý 2 vợ chồng m rất thích giày đi êm nhẹ chân lắm.,POS,5,,rất hợp_ý 2 vợ_chồng m rất thích giày đi êm_nhẹ chân lắm
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,,chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh
Ổn lắm ạ .,POS,4,,ổn lắm ạ
Gói hàng chắc chắn và giao nhanh.,POS,4,,gói hàng chắc_chắn và giao nhanh
giao sai size.. đặt cùng size mà giao cái lớn cái nhỏ xíu.,NEG,1,,giao sai size đặt cùng size mà giao cái lớn cái nhỏ_xíu
Đẩy ngực.,POS,5,,đẩy ngực
Áo dứi 53kg.,NEU,3,,áo dứi 53 kg
"5* , có 10* mình cho luôn ý.",POS,5,,5 có 10 mình cho luôn ý
Giận !,NEG,2,,giận
Chất lượng sản phẩm tuyệt vời Rất đáng tiền Rất đáng tiền.,POS,5,,chất_lượng sản_phẩm tuyệt_vời rất đáng tiền rất đáng tiền
Mỗi tội đóng gói k đc đẹp cho lắm nhưng vẫn cho shop 5 sao.,POS,5,,mỗi tội đóng_gói k đc đẹp cho lắm nhưng vẫn cho shop 5 sao
Chua xem hàng cơ mà giao hàng nhanh quá.,POS,5,,chua xem hàng cơ_mà giao hàng nhanh quá
"Hàng mặc lên đẹp lắm shop, sẽ ủng hộ tiếp.",POS,5,,hàng mặc lên đẹp lắm shop sẽ ủng_hộ tiếp
Để nguyên cái dây dài cả kilomet.hàng thì nhìn đẹp nhưng không biết dùng được bền không. nói chung bán hàng thì nên care khách chút.,NEG,2,,để nguyên cái dây dài cả kilomethàng thì nhìn đẹp nhưng không biết dùng được bền không nói_chung bán hàng thì nên care khách chút
Chi co mot dau cap sac thoi :((.,NEG,2,,chi co mot dau cap sac thoi
Coi phim vẫn rất hời lun á.,NEG,2,,coi phim vẫn rất hời lun á
Rất ưng váy.,POS,5,,rất ưng váy
"Size áo ngắn quá k dài như ảnh, còn chưa tới đầu gối nữa.",NEG,2,,size áo ngắn quá k dài như ảnh còn chưa tới đầu_gối nữa
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt.,POS,5,,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt
"Chuẩn ảnh, rất ok.",POS,5,,chuẩn ảnh rất ok
Bìa cực đẹp.,POS,5,,bìa cực đẹp
thấy da mặt khô hon.bớt dầu.da minh thuộc da nhạy cảm.nhung dùng rat ok.k bị mẩn ngứa.,POS,4,,thấy da mặt khô honbớt dầuda_minh thuộc da nhạy_cảmnhung dùng rat okk bị mẩn ngứa
Chất lượng sản phẩm tốt.,POS,5,,chất_lượng sản_phẩm tốt
Mk đặt 30 cái mà không mẫu nào giống nhau 😍😍.,POS,5,,mk đặt 30 cái mà không mẫu nào giống nhau
"Hàng giao nhanh, tốt.",POS,4,,hàng giao nhanh tốt
"Áo y hình luôn nhé, rất đẹp Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền.",POS,5,,áo y_hình luôn nhé rất đẹp đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền
"Vải thun mềm, co giãn tốt.",POS,4,,vải thun_mềm co_giãn tốt
Chất vải rất đẹp.,POS,5,,chất vải rất đẹp
Thời gian giao hàng rất nhanh.,POS,4,,thời_gian giao hàng rất nhanh
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
"Shop phục vụ khá tốt Tuy nhiên cần che tên mặt hàng đi nha, gặp shipper nam ngại chết đc 😂 Đáng đồng tiền.",NEU,3,,shop phục_vụ khá tốt tuy_nhiên cần che tên mặt_hàng đi nha gặp shipper nam_ngại chết đc đáng đồng_tiền
ÁO MẶC KHÔNG VỪA...,NEG,2,,áo mặc không vừa
như mấy áo bt.,NEU,3,,như mấy áo bt
Chất vải hơn mong đợi.,POS,5,,chất vải hơn mong_đợi
"Áo đẹp, vải áo mịn và mát, hình cò thì hơi vàng.",POS,4,,áo đẹp vải áo mịn và mát_hình cò thì hơi vàng
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền
"Áo hơi bó, nhưng nhìn chung là ổn.",POS,4,,áo hơi bó nhưng nhìn_chung là ổn
50kg mặc hơi kích vai.,NEG,2,,50 kg mặc hơi_kích vai
ok. hag đẹp.,POS,5,,ok hag đẹp
"Đường chỉ may bị lỗi, vãi mỏng không giống trong hình, mình mua màu trắng shop lại giao màu đen nói tóm lại shop không uy tín, mình khuyên mọi người khi mua hàng ở shop cần phải cân nhắc trước khi mua 👎shop làm mình thất vọng khi mua hàng trên shopee quá.",NEG,1,,đường chỉ may bị lỗi vãi mỏng không giống trong hình mình mua màu trắng shop lại giao màu đen nói_tóm_lại shop không uy_tín mình khuyên mọi người khi mua hàng ở shop cần phải cân_nhắc trước khi mua shop làm mình thất_vọng khi mua hàng trên shopee quá
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,4,,đóng_gói sản_phẩm rất đẹp và chắc_chắn
"Giao hàng nhanh,mặc dù anh shiper làm móp cái hộp đựng.giày đúng như hình,mặc dù hơi lộ vân keo.nói chung trong tầm giá này thì mình cảm thấy ổn.sẽ ủng hộ shop nhìu sản phẩm nữa 😉.",POS,4,,giao hàng nhanhmặc dù anh shiper làm móp cái hộp đựnggiày đúng như hìnhmặc dù hơi lộ vân keonói chung trong tầm giá này thì mình cảm_thấy ổnsẽ ủng_hộ shop nhìu sản_phẩm nữa
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,thời_gian giao hàng rất nhanh rất đáng tiền shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn
Áo xinh nhưng bị bục chỉ :(.,NEU,3,,áo xinh nhưng bị bục chỉ
"Lightstick keyring đẹp lắm ạ, mà shop đóng hai hộp liền rất cẩn thận ạ.",POS,5,,lightstick keyring đẹp lắm ạ mà shop đóng hai hộp liền rất cẩn_thận ạ
"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền,sẽ ủng hộ shop dài dài.",POS,5,,chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiềnsẽ ủng_hộ shop dài dài
"Áo rộng không giống hình, chất liệu nhão .Không đáng tiền.",NEG,1,,áo rộng không giống hình chất_liệu nhão không đáng tiền
Túi và ví đều rất đẹp.,POS,5,,túi và ví đều rất đẹp
Chân váy + áo của shop hết nhé.,POS,4,,chân váy áo của shop hết nhé
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn
Cảm thấy vô cùng hài lòng.,POS,5,,cảm_thấy vô_cùng hài_lòng
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn
chất lượng sản phẩm tốt ❤️ shop nhiệt tình.,POS,5,,chất_lượng sản_phẩm tốt_shop nhiệt_tình
"Nhận hàng ưng lắm luôn, váy đẹp, chất vải ok, chủ shop rất nhiệt tình.",POS,5,,nhận hàng ưng lắm luôn váy đẹp chất vải ok chủ shop rất nhiệt_tình
Shop phục vụ rất kém!,NEG,1,,shop phục_vụ rất kém
Made in china minh k hai long.,NEG,2,,made in china_minh k hai long
Uy tín.,POS,5,,uy_tín
"Mua online mà được như này là hài lòng lắm, rẻ nữa.",POS,5,,mua online mà được như này là hài_lòng lắm rẻ nữa
Rất đáng tiền.,POS,5,,rất đáng tiền
"Đẹp, giá tốt, chủ shop thân thiện 💕.",POS,5,,đẹp giá tốt chủ shop thân_thiện
"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt, áo rẻ mà chất đẹp quá luôn, nhận hàng mà nghĩ tiếc quá, biết thế lấy thêm cái nữa :))).",POS,5,,chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt áo rẻ mà chất đẹp quá luôn nhận hàng mà nghĩ tiếc quá biết thế lấy thêm cái nữa
Vải quá mỏng.,NEG,1,,vải quá mỏng
Có 1000 sao cũng tặng sh luôn.,POS,5,,có 1000 sao cũng tặng sh luôn
Form rất to lùng bùng như trùm cái mền.,NEG,2,,form rất to_lùng_bùng như trùm cái mền
Áo nhỏ hơn mk tưởng nhung cx ok vs cái giá rồi shop cx rát nhiệt tình nữa.,POS,5,,áo nhỏ hơn mk tưởng nhung cx ok vs cái giá rồi shop cx rát nhiệt_tình nữa
Giao hàng k đúng sản phẩm.,NEG,2,,giao hàng k đúng sản_phẩm
Kể ra có size to hơn thì tốt.,NEG,2,,kể ra có size to hơn thì tốt
"Mọi ng tránh xa shop này đi nhé😏nếu cho sao thì một sao thì mình cững ko muốn cho shop.làm ăn quá tệ hại,lâij đi bán áo rách cho mình.vỉa thì nếu gắng gượng thì có thể chấp nhận đc😥😣🤤😡cảnh báo nhé mọi ng.",NEG,1,,mọi ng tránh xa_shop này đi nhénếu cho sao thì một sao thì mình cững ko muốn cho shoplàm ăn quá tệ_hạilâij đi bán áo_rách cho mìnhvỉa thì nếu gắng_gượng thì có_thể chấp_nhận đccảnh báo nhé mọi ng
Chất đep fom chuẩn rất ưng.,POS,5,,chất đep fom chuẩn rất ưng
"Đẹp y hình, thích lắm luôn ^^ Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền.",POS,5,,đẹp y_hình thích lắm luôn đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền
"Sp rất ok,😊😊😊.",POS,4,,sp rất ok
Người bán vô trách nhiệm giao không đúng mẫu không giải quyết Chất lượng sản phẩm rất kém.,NEG,1,,người bán vô_trách_nhiệm giao không đúng mẫu không giải_quyết chất_lượng sản_phẩm rất kém
"Đường may xấu, chỉ tua rua.",NEG,2,,đường may xấu chỉ tua rua
Dây quay cắp ngắn.,NEG,2,,dây quay_cắp ngắn
"Đóng gói sản phẩm rất đẹp và chắc chắn, lại còn được kèm theo postcard của Namjoon nữa hihi, hi vọng món sau được tặng kèm postcard của Yoongi <3.",POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn lại còn được kèm theo postcard của namjoon nữa hihi hi_vọng món sau được tặng kèm postcard của yoongi 3
Hàng đẹp cực.,POS,5,,hàng đẹp cực
Bao quat la ok nhung đong thì k ổn mình mua 4đoi shop k cho vào túi.,POS,4,,bao quat_la ok nhung đong thì k ổn mình mua 4 đoi shop k cho vào túi
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Rất đáng tiền Rất đáng tiền.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời rất đáng tiền rất đáng tiền
"chất đẹp,giá rẻ,nhưng ship 40k đắt quá.",NEU,3,,chất đẹpgiá rẻnhưng ship 40 k đắt quá
Đáng đồng tiền Thời gian giao hàng nhanh.,POS,5,,đáng đồng_tiền thời_gian giao hàng nhanh
Thời gian giao hàng rất nhanh.,POS,5,,thời_gian giao hàng rất nhanh
"Lần đầu mua quần áo trên shopee cũng may mua đúng shop bán đồ đẹp, giá rẻ, shop cực dễ thương.",POS,5,,lần đầu mua quần_áo trên shopee cũng may mua đúng shop bán đồ đẹp giá rẻ shop_cực dễ_thương
"Tư vấn rất nhiệt tình, chu đáo.",POS,5,,tư_vấn rất nhiệt_tình chu_đáo
Chất lượng sản phẩm tạm được.,NEU,3,,chất_lượng sản_phẩm tạm được
